Target Field,Required,Data Type,Transformation Notes
facility_id,No,string,
facility_name,Yes,decimal,
address_line_1,Yes,int,
address_line_2,Yes,string,
city,No,boolean,
state_code,Yes,boolean,
postal_code,Yes,string,
country,Yes,string,
latitude,Yes,int,
longitude,No,boolean,
sqft,Yes,boolean,
year_built,Yes,boolean,
occupancy_status,Yes,int,
property_type,Yes,boolean,
owner_name,Yes,string,
manager_name,Yes,date,
contact_phone,Yes,decimal,
contact_email,Yes,int,
lease_start_date,Yes,string,
lease_end_date,Yes,date,
monthly_rent,Yes,decimal,
security_deposit,Yes,boolean,
tax_id,Yes,string,
gl_account,No,date,
cost_center,No,string,
region_code,Yes,string,
district_code,No,decimal,
market_area,No,boolean,
building_class,Yes,boolean,
floor_count,Yes,string,
unit_count,Yes,int,
parking_spaces,Yes,string,
hvac_type,Yes,string,
roof_type,Yes,decimal,
sprinkler_system,Yes,decimal,
fire_alarm,Yes,decimal,
elevator_count,Yes,int,
accessibility_compliant,No,decimal,
energy_star_rating,No,string,
last_inspection_date,No,int,
next_inspection_date,No,int,
insurance_carrier,Yes,date,
policy_number,Yes,decimal,
premium_amount,No,boolean,
coverage_start,Yes,decimal,
coverage_end,Yes,int,
vendor_id,Yes,decimal,
contract_number,Yes,decimal,
service_type,Yes,int,
billing_frequency,No,decimal,
payment_terms,Yes,date,
currency_code,Yes,date,
exchange_rate,Yes,decimal,
created_date,Yes,int,
modified_date,No,boolean,
created_by,No,decimal,
modified_by,No,boolean,
is_active,Yes,boolean,
status_reason,Yes,decimal,
notes,Yes,int,
external_ref_id,No,date,
legacy_system_id,Yes,string,
import_batch_id,Yes,int,
data_source_system,No,int,
record_version,No,date,
effective_date,No,string,
expiration_date,Yes,date,
approval_status,No,date,
approved_by,No,decimal,
approved_date,No,string,
rejection_reason,No,string,
workflow_state,No,boolean,
priority_level,Yes,decimal,
risk_score,Yes,decimal,
compliance_flag,Yes,int,
audit_trail_id,Yes,string,
hardcode_field_0,Yes,string,"Hardcode to ""US"""
hardcode_field_1,Yes,string,Constant value = Active
hardcode_field_2,Yes,string,Always set to 'Corporate'
hardcode_field_3,Yes,string,Default to 0
hardcode_field_4,Yes,string,Fixed value = N/A
lookup_field_0,No,string,Lookup region_code via ref.Region table
lookup_field_1,Yes,string,Join to PropertyType reference table on code
lookup_field_2,Yes,string,FK lookup against dbo.VendorMaster
lookup_field_3,No,string,Map via lookup table RefStatusCodes
lookup_field_4,Yes,string,Cross reference with GLAccountMaster
square_footage,Yes,string,Business rule pending confirmation
building_square_feet,Yes,string,
tenant_legal_name,No,string,TBD — no source field identified yet
parent_company_id,No,string,Business rule pending confirmation
consolidation_entity,Yes,string,TBD — no source field identified yet
reporting_currency,Yes,string,Business rule pending confirmation
fiscal_period,Yes,string,TBD — no source field identified yet
amortization_schedule,Yes,string,TBD — no source field identified yet
facility_id_derived_0,No,string,
facility_name_derived_1,No,string,
address_line_1_derived_2,No,string,
address_line_2_derived_3,No,string,
city_derived_4,No,string,
state_code_derived_5,No,string,
postal_code_derived_6,No,string,
country_derived_7,No,string,
latitude_derived_8,No,string,
longitude_derived_9,No,string,
sqft_derived_10,No,string,
year_built_derived_11,No,string,
occupancy_status_derived_12,No,string,
property_type_derived_13,No,string,
owner_name_derived_14,No,string,
manager_name_derived_15,No,string,
contact_phone_derived_16,No,string,
contact_email_derived_17,No,string,
lease_start_date_derived_18,No,string,
lease_end_date_derived_19,No,string,
monthly_rent_derived_20,No,string,
security_deposit_derived_21,No,string,
tax_id_derived_22,No,string,
gl_account_derived_23,No,string,
cost_center_derived_24,No,string,
region_code_derived_25,No,string,
district_code_derived_26,No,string,
market_area_derived_27,No,string,
building_class_derived_28,No,string,
floor_count_derived_29,No,string,
unit_count_derived_30,No,string,
parking_spaces_derived_31,No,string,
hvac_type_derived_32,No,string,
roof_type_derived_33,No,string,
sprinkler_system_derived_34,No,string,
fire_alarm_derived_35,No,string,
elevator_count_derived_36,No,string,
accessibility_compliant_derived_37,No,string,
energy_star_rating_derived_38,No,string,
last_inspection_date_derived_39,No,string,
next_inspection_date_derived_40,No,string,
insurance_carrier_derived_41,No,string,
policy_number_derived_42,No,string,
premium_amount_derived_43,No,string,
coverage_start_derived_44,No,string,
coverage_end_derived_45,No,string,
vendor_id_derived_46,No,string,
contract_number_derived_47,No,string,
service_type_derived_48,No,string,
billing_frequency_derived_49,No,string,
payment_terms_derived_50,No,string,
currency_code_derived_51,No,string,
exchange_rate_derived_52,No,string,
created_date_derived_53,No,string,
modified_date_derived_54,No,string,
created_by_derived_55,No,string,
modified_by_derived_56,No,string,
is_active_derived_57,No,string,
status_reason_derived_58,No,string,
notes_derived_59,No,string,
external_ref_id_derived_60,No,string,
legacy_system_id_derived_61,No,string,
import_batch_id_derived_62,No,string,
data_source_system_derived_63,No,string,
record_version_derived_64,No,string,
effective_date_derived_65,No,string,
expiration_date_derived_66,No,string,
approval_status_derived_67,No,string,
approved_by_derived_68,No,string,
approved_date_derived_69,No,string,
rejection_reason_derived_70,No,string,
workflow_state_derived_71,No,string,
priority_level_derived_72,No,string,
risk_score_derived_73,No,string,
compliance_flag_derived_74,No,string,
audit_trail_id_derived_75,No,string,
facility_id_derived_76,No,string,
facility_name_derived_77,No,string,
address_line_1_derived_78,No,string,
address_line_2_derived_79,No,string,
city_derived_80,No,string,
state_code_derived_81,No,string,
postal_code_derived_82,No,string,
country_derived_83,No,string,
latitude_derived_84,No,string,
longitude_derived_85,No,string,
sqft_derived_86,No,string,
year_built_derived_87,No,string,
occupancy_status_derived_88,No,string,
property_type_derived_89,No,string,
owner_name_derived_90,No,string,
manager_name_derived_91,No,string,
contact_phone_derived_92,No,string,
contact_email_derived_93,No,string,
lease_start_date_derived_94,No,string,
lease_end_date_derived_95,No,string,
monthly_rent_derived_96,No,string,
security_deposit_derived_97,No,string,
tax_id_derived_98,No,string,
gl_account_derived_99,No,string,
cost_center_derived_100,No,string,
region_code_derived_101,No,string,
district_code_derived_102,No,string,
market_area_derived_103,No,string,
building_class_derived_104,No,string,
floor_count_derived_105,No,string,
