facility_id,facility_name,legacy_system_id,property_type,service_type,lease_start_date,lease_end_date,vendor_id,manager_name,unit_count,is_active,external_ref_id,notes,occupancy_status,created_date,internal_row_id,data_source_system
facility_id_0,facility_name_0,legacy_system_id_0,property_type_0,service_type_0,lease_start_date_0,lease_end_date_0,vendor_id_0,manager_name_0,unit_count_0,is_active_0,external_ref_id_0,notes_0,occupancy_status_0,created_date_0,internal_row_id_0,data_source_system_0
facility_id_1,facility_name_1,legacy_system_id_1,property_type_1,service_type_1,lease_start_date_1,lease_end_date_1,vendor_id_1,manager_name_1,unit_count_1,is_active_1,external_ref_id_1,notes_1,occupancy_status_1,created_date_1,internal_row_id_1,data_source_system_1
facility_id_2,facility_name_2,legacy_system_id_2,property_type_2,service_type_2,lease_start_date_2,lease_end_date_2,vendor_id_2,manager_name_2,unit_count_2,is_active_2,external_ref_id_2,notes_2,occupancy_status_2,created_date_2,internal_row_id_2,data_source_system_2
facility_id_3,facility_name_3,legacy_system_id_3,property_type_3,service_type_3,lease_start_date_3,lease_end_date_3,vendor_id_3,manager_name_3,unit_count_3,is_active_3,external_ref_id_3,notes_3,occupancy_status_3,created_date_3,internal_row_id_3,data_source_system_3
facility_id_4,facility_name_4,legacy_system_id_4,property_type_4,service_type_4,lease_start_date_4,lease_end_date_4,vendor_id_4,manager_name_4,unit_count_4,is_active_4,external_ref_id_4,notes_4,occupancy_status_4,created_date_4,internal_row_id_4,data_source_system_4
facility_id_5,facility_name_5,legacy_system_id_5,property_type_5,service_type_5,lease_start_date_5,lease_end_date_5,vendor_id_5,manager_name_5,unit_count_5,is_active_5,external_ref_id_5,notes_5,occupancy_status_5,created_date_5,internal_row_id_5,data_source_system_5
facility_id_6,facility_name_6,legacy_system_id_6,property_type_6,service_type_6,lease_start_date_6,lease_end_date_6,vendor_id_6,manager_name_6,unit_count_6,is_active_6,external_ref_id_6,notes_6,occupancy_status_6,created_date_6,internal_row_id_6,data_source_system_6
facility_id_7,facility_name_7,legacy_system_id_7,property_type_7,service_type_7,lease_start_date_7,lease_end_date_7,vendor_id_7,manager_name_7,unit_count_7,is_active_7,external_ref_id_7,notes_7,occupancy_status_7,created_date_7,internal_row_id_7,data_source_system_7
facility_id_8,facility_name_8,legacy_system_id_8,property_type_8,service_type_8,lease_start_date_8,lease_end_date_8,vendor_id_8,manager_name_8,unit_count_8,is_active_8,external_ref_id_8,notes_8,occupancy_status_8,created_date_8,internal_row_id_8,data_source_system_8
facility_id_9,facility_name_9,legacy_system_id_9,property_type_9,service_type_9,lease_start_date_9,lease_end_date_9,vendor_id_9,manager_name_9,unit_count_9,is_active_9,external_ref_id_9,notes_9,occupancy_status_9,created_date_9,internal_row_id_9,data_source_system_9
